"AppName","Publisher"
"Obsidian","Obsidian"
"OBS Studio","OBS Project"
"ocenaudio","Ocenaudio Team"
"Oh My Posh","Jan De Dobbeleer"
"ONLYOFFICE Desktop Editors","Ascensio System SIA"
"OpenBoard","Open Education Foundation"
"OpenJDK 11","ojdkbuild open-source project"
"Open-Shell","The Open-Shell Team"
"OpenShot Video Editor","OpenShot Studios, LLC"
"OpenVPN","OpenVPN, Inc."
"OpenVPN Connect","OpenVPN Technologies"
"Opera GX Stable","Opera Software"
"Opera Stable","Opera Software"
"Oracle VM VirtualBox","Oracle Corporation"
"ownCloud","ownCloud GmbH"
"paint.net","dotPDN LLC"
"Pale Moon","Moonchild Productions"
"Pandoc","John MacFarlane"
"PDF24 Creator (Machine Install)","geek software GmbH"
"pdfarranger","UNKNOWN"
"PDFCreator Free","Avanquest pdfforge GmbH"
"PDFgear","PDFgear"
"PDF Printer","Bullzip"
"PDFsam Basic","Sober Lemur S.a.s. di Vacondio Andrea"
"PDF Studio","Qoppa Software"
"PDF-XChange Editor","Tracker Software Products (Canada) Ltd."
"PDF-XChange PRO","Tracker Software Products (Canada) Ltd."
"PDQ Deploy","PDQ.com"
"PeaZip","Giorgio Tani"
"Pencil","Evolus"
"pgAdmin 4 (Machine Install)","The pgAdmin Development Team"
"pgAdmin 4 (User Install)","The pgAdmin Development Team"
"PhotoGlory","AMS Software"
"PhpStorm","JetBrains s.r.o."
"PicPick","NGWIN"
"Pinta","Pinta Community"
"Plantronics Hub Software","Plantronics, Inc."
"Plex","Plex, Inc."
"Podman","Red Hat Inc."
"Podman Desktop","RedHat"
"Poedit","V clav Slav k"
"Poly Lens","Poly, Inc."
"Postman","Postman"
"Power Automate for desktop","Microsoft Corporation"
"Power BI Report Builder","Microsoft Corporation"
"PowerShell","Microsoft Corporation"
"PowerToys (Preview)","Microsoft Corporation"
"PreForm","Formlabs"
"PremiumSoft Navicat Premium","PremiumSoft CyberTech Ltd."
"Prezi Classic","Prezi"
"PrintNode","PrintNode Ltd"
"Process Monitor","Microsoft Corporation"
"Progress Telerik Fiddler Classic","Progress Software Corporation"
"Proton Drive","Proton AG"
"Proton Mail Bridge","Proton AG"
"Proton Pass","Proton AG"
"Proton VPN","Proton AG"
"Proxyman","Proxyman LLC"
"PRTG Desktop","Paessler AG"
"PrusaSlicer","Prusa Research"
"Puppet Agent","Puppet Inc"
"PuTTY","Simon Tatham"
"PyCharm Community Edition","JetBrains s.r.o."
"PyCharm Community Edition (EAP)","JetBrains s.r.o."
"PyCharm Professional Edition","JetBrains s.r.o."
"Python 3.10","Python Software Foundation"
"Python 3.11","Python Software Foundation"
"Python 3.12","Python Software Foundation"
"Python 3.13","Python Software Foundation"
"Python 3.9","Python Software Foundation"
"Qalculate!","Hanna Knutsson"
"QGIS","QGIS.org"
"QGIS LTR","QGIS Development Team"
"QNAP Qsync Client","QNAP Systems, Inc."
"Quarto","Rstudio, PBC"
"Rainmeter","Rainmeter"
"Rambox","Rambox LLC"
"Rancher Desktop","SUSE"
"Raspberry Pi Imager","Raspberry Pi Ltd"
"Razer Synapse 3","Razer Inc."
"REAPER","Cockos Incorporated"
"Remote Desktop","Microsoft Corporation"
"Remote Desktop Manager","Devolutions inc."
"Remote help","Microsoft Corporation"
"Reor","Sam L'Huillier"
"R for Windows","R Core Team"
"RingCentral","RingCentral"
"RoboForm","Siber Systems"
"Rocket.Chat","Rocket.Chat Support"
"Royal TS","Royal Apps GmbH"
"Royal TS 7.00.50817.0","Royal Apps GmbH"
"RStudio","Posit Software"
"Rtools","The R Foundation"
"Rufus","pbatard"
"RustDesk","RustDesk"
"RustRover","JetBrains s.r.o."
"S3 Browser","Netsdk Software FZE"
"Safe Exam Browser","ETH Zurich"
"Sandboxie-Plus","http://xanasoft.com/"
"SciTE Text Editor","ebswift.com"
"Scratch 3","Scratch Foundation"
"Screenpresso","Learnpulse"
"Scribus","The Scribus Team"
"ShareFile For Windows","ShareFile"
"ShareX","ShareX Team"
"Shotcut","Meltytech, LLC"
"Signal","Signal Messenger, LLC"
"SketchUp Pro 2022","Trimble, Inc."
"Skype","Skype Technologies S.A."
"Slack","Slack Technologies Inc."
"SMART Education Software","SMART Technologies"
"Smart Switch","Samsung Electronics Co., Ltd."
"Snagit 2020","TechSmith Corporation"
"Snagit 2023","TechSmith Corporation"
"Snagit 2024","TechSmith Corporation"
"Snagit 2024 (MSI)","TechSmith Corporation"
"Snapmaker Luban","Snapmaker Dev Team"
"Snowflake ODBC Driver","Snowflake Computing"
"SoapUI","SmartBear Software"
"Sogou Input","Sogou.com"
"SonicWall NetExtender","SonicWall Inc."
"Sono","Audient"
"SonoBus","Sonosaurus LLC"
"SoundSwitch (Machine Install)","Antoine Aflalo"
"Sourcetree","Atlassian"
"Spacedrive","spacedrive"
"Special K","The Special K Group"
"Splashtop Business","Splashtop Inc."
"Splashtop Streamer","Splashtop Inc."
"Splashtop Streamer Deployment","Splashtop Inc."
"Splashtop Streamer Deployment (MSI)","Splashtop Inc."
"Spyder","Spyder Project Contributors and others"
"Stacher","StacherIO"
"Stardock Start11","Stardock Software, Inc."
"starship","Starship Contributors"
"Steam","Valve Corporation"
"SteelSeries GG","SteelSeries ApS"
"Stellarium","Stellarium team"
"Strawberry Perl","strawberryperl.com project"
"Sublime Text 4","Sublime HQ Pty Ltd"
"SumatraPDF","Krzysztof Kowalczyk"
"Surfshark","Surfshark"
"Sweet Home 3D","eTeks"
"Swift","swift.org"
"SyncBackFree","2BrightSparks"
"Synology Drive Client","Synology"
"Tabby","Eugene Pankov"
"Tableau","Tableau Software, LLC"
"Tableau Prep Builder","Tableau Software, LLC"
"TablePlus","TablePlus, Inc"
"Tailscale","Tailscale Inc."
"Talkdesk","Talkdesk"
"Taskade","Taskcade Inc."
"TeamViewer (EXE)","TeamViewer"
"TeamViewer Host","TeamViewer"
"TeamViewer Host (MSI)","TeamViewer"
"TeamViewer (MSI)","TeamViewer"
"TechPowerUp GPU-Z","TechPowerUp"
"Telegram Desktop","Telegram FZ-LLC"
"TELUS Business Connect Phone","TELUS"
"TELUS Business Connect Phone (Machine Install)","TELUS"
"Tencent Meeting","Tencent Technology (Shenzhen) Co. Ltd."
"TeraCopy","Code Sector"
"Termius","Termius Corporation"
"Texmaker","Texmaker"
"TextExpander","Smile, Inc."
"TFLint","Terraform Linters"
"threema-web","Threema GmbH"
"TickTick","Appest.com"
"TightVNC","GlavSoft LLC."
"ToDesktop","Dave Jeffery"
"Todoist","Doist"
"Toggl Track","Toggl"
"TortoiseGit","TortoiseGit"
"TortoiseHg","Steve Borho and others"
"TortoiseSVN","TortoiseSVN"
"Total Commander","Ghisler Software GmbH"
"TreeSize","JAM Software"
"TreeSize Free","JAM Software"
"Tux Paint","New Breed Software"
"Typora","typora.io"
"Ultimaker Cura","UltiMaker"
"UltraEdit","IDM Computer Solutions, Inc."
"UltraISO Premium","EZB Systems, Inc."
"UltraViewer","DucFabulous"
"UltraVnc","uvnc bvba"
"UniGetUI","Mart  Climent"
"Unity 2022","Unity Technologies ApS"
"Unity Hub","Unity Technologies Inc."
"Upscayl","Upscayl"
"UrBackup","UrBackup"
"usbipd-win","Frans van Dorsselaer"
"v2rayA","v2rayA Organization"
"Vagrant","HashiCorp"
"VeraCrypt","IDRIX"
"Vim","Bram Moolenaar et al."
"Viscosity","SparkLabs"
"Visual Studio BuildTools 2022","Microsoft Corporation"
"Visual Studio Community 2022","Microsoft Corporation"
"Visual Studio Enterprise 2019","Microsoft Corporation"
"Visual Studio Enterprise 2022","Microsoft Corporation"
"Visual Studio Professional 2019","Microsoft Corporation"
"Visual Studio Professional 2022","Microsoft Corporation"
"Vivaldi","Vivaldi Technologies AS."
"VLC media player (EXE 32-Bit)","VideoLAN"
"VLC media player (EXE 64-Bit)","VideoLAN"
"VLC media player (MSI 32-Bit)","VideoLAN"
"VLC media player (MSI 64-Bit)","VideoLAN"
"VMware Horizon Client","VMware, Inc."
"VNC Viewer","RealVNC"
"Volta","The Volta Maintainers"
"VooV Meeting","Tencent Technology (Shenzhen) Co. Ltd."
"VSCodium","VSCodium"
"Vysor","Vysor Inc."
"Wasmer","Wasmer, Inc."
"WatchGuard Mobile VPN with SSL client","WatchGuard"
"Wazuh Agent","Wazuh, Inc."
"Webex","Cisco Systems, Inc"
"Webex (Machine Install)","Cisco Systems, Inc"
"Webroot SecureAnywhere","Webroot"
"WebStorm","JetBrains s.r.o."
"WebStorm (EAP)","JetBrains s.r.o."
"WeChat","Tencent"
"Win10Pcap","Daiyuu Nobori, University of Tsukuba, Japan"
"Windows Admin Center","Microsoft Corporation"
"Windows PC Health Check","Microsoft Corporation"
"WinFsp 2023","Navimatics LLC"
"Winget Pre-Install","Microsoft"
"WingetUI","Mart  Climent"
"WinMerge","Thingamahoochie Software"
"WinRAR","win.rar GmbH"
"WinSCP","Martin Prikryl"
"Wire","Wire"
"WireGuard","WireGuard LLC"
"Wireshark","The Wireshark developer community, https://www.wireshark.org/"
"Wise Disk Cleaner","WiseCleaner.com, Inc."
"WizTree","Antibody Software"
"Wondershare PDF Reader","Wondershare"
"WPS Office","Kingsoft Corp."
"Xmind","XMIND LTD."
"XMind 8","XMind Ltd."
"XML Notepad","Microsoft Corporation"
"XnConvert","Pierre-e Gougelet"
"XnView","Gougelet Pierre-e"
"XnView MP","Pierre-e Gougelet"
"Yarn","Yarn Contributors"
"Yealink USB Connect","Yealink"
"Yubico Authenticator","Yubico AB"
"YubiKey Manager","Yubico AB"
"ZeroTier One","ZeroTier, Inc."
"Zettlr","Hendrik Erz"
"Zoom (Machine Install)","Zoom"
"Zoom Outlook Plugin","Zoom"
"Zoom Rooms","Zoom Video Communications, Inc."
"Zoom VDI Universal Plugin","Zoom Video Communications, Inc."
"Zoom VDI Workplace","Zoom Video Communications, Inc."
"Zoom Workplace (User Install)","Zoom Video Communications, Inc."
"Zotero","Corporation for Digital Scholarship"
